Rang;Staat;Fläche in km²;Fläche in km²;Fläche in km²
;;(Gesamt);(Land);(Wasser)
1; Russland[Anm. 1];17.098.242;16.377.742;720.500
2; Kanada;9.984.670;9.093.507;891.163
3; Volksrepublik China[Anm. 2];9.596.960;9.326.410;270.550
4; Vereinigte Staaten[Anm. 3];9.525.067[2];9.147.593;377.424
5; Brasilien;8.515.770;8.358.140;157.630
6; Australien[Anm. 4];7.741.220;7.682.300;58.920
7; Indien[Anm. 5];3.287.263;2.973.193;314.070
8; Argentinien;2.780.400;2.736.690;43.710
9; Kasachstan;2.724.900;2.699.700;25.200
10; Algerien;2.381.740;2.381.740;0
11; Demokratische Republik Kongo;2.344.858;2.267.048;77.810
–; Grönland[Anm. 6];2.166.086;2.166.086;0
12; Saudi-Arabien;2.149.690;2.149.690;0
13; Mexiko;1.964.375;1.943.945;20.430
14; Indonesien;1.904.569;1.811.569;93.000
15; Sudan[Anm. 7];1.861.484;1.861.484;0
16; Libyen;1.759.540;1.759.540;0
17; Iran;1.648.195;1.531.595;116.600
18; Mongolei;1.564.116;1.553.556;10.560
19; Peru;1.285.216;1.279.996;5.220
20; Tschad;1.284.000;1.259.200;24.800
21; Niger;1.267.000;1.266.700;300
22; Angola;1.246.700;1.246.700;0
23; Mali;1.240.192;1.220.190;20.002
24; Südafrika;1.219.090;1.214.470;4.620
25; Kolumbien;1.138.910;1.038.700;100.210
26; Äthiopien[Anm. 8];1.104.300;1.000.000;104.300
27; Bolivien;1.098.581;1.083.301;15.280
28; Mauretanien;1.030.700;1.030.700;0
29; Ägypten;1.001.450;995.450;6.000
30; Tansania;947.300;885.800;61.500
31; Nigeria;923.768;910.768;13.000
32; Venezuela;912.050;882.050;30.000
33; Namibia;824.292;823.290;1.002
34; Mosambik;799.380;786.380;13.000
35; Pakistan[Anm. 9];796.095;770.875;25.220
36; Türkei;783.562;769.632;13.930
37; Chile;756.102;743.812;12.290
38; Sambia;752.618;743.398;9.220
39; Myanmar;676.578;653.508;23.070
40; Afghanistan;652.230;652.230;0
41; Südsudan[Anm. 10];644.329;644.329;0
42; Frankreich (mit integrierten Überseegebieten)[Anm. 11];643.801;640.427;3.374
43; Somalia[Anm. 12];637.657;627.337;10.320
44; Zentralafrikanische Republik;622.984;622.984;0
45; Ukraine[Anm. 13];603.550;579.330;24.220
46; Madagaskar;587.041;581.540;5.501
47; Botswana;581.730;566.730;15.000
48; Kenia;580.367;569.140;11.227
–; Frankreich (Metropolitan)[Anm. 14];551.500;549.970;1.530
49; Jemen;527.968;527.968;0
50; Thailand;513.120;510.890;2.230
51; Spanien;505.370;498.980;6.390
52; Turkmenistan;488.100;469.930;18.170
53; Kamerun;475.440;472.710;2.730
54; Papua-Neuguinea;462.840;452.860;9.980
55; Schweden;450.295;410.335;39.960
56; Usbekistan;447.400;425.400;22.000
57; Marokko[Anm. 15];446.550;446.300;250
58; Irak;438.317;437.367;950
59; Paraguay;406.752;397.302;9.450
60; Simbabwe;390.757;386.847;3.910
61; Japan[3];377.975;364.545;13.430
62; Deutschland;357.022;348.672;8.350
63; Republik Kongo;342.000;341.500;500
64; Finnland[Anm. 16];338.145;303.815;34.330
65; Vietnam;331.210;310.070;21.140
66; Malaysia;329.847;328.657;1.190
67; Norwegen[Anm. 4];323.802;304.282;19.520
68; Elfenbeinküste;322.463;318.003;4.460
69; Polen;312.685;304.255;8.430
70; Oman;309.500;309.500;0
71; Italien;301.340;294.140;7.200
72; Philippinen;300.000;298.170;1.830
73; Ecuador;283.561;276.841;6.720
74; Burkina Faso;274.200;273.800;400
75; Neuseeland[Anm. 17];268.838;264.537;4.301
76; Gabun;267.667;257.667;10.000
–; Westsahara;266.000;266.000;0
77; Guinea;245.857;245.717;140
78; Vereinigtes Königreich[Anm. 18];243.610;241.930;1.680
79; Uganda;241.038;197.100;43.938
80; Ghana;238.533;227.533;11.000
81; Rumänien;238.391;229.891;8.500
82; Laos;236.800;230.800;6.000
83; Guyana;214.969;196.849;18.120
84; Weißrussland;207.600;202.900;4.700
85; Kirgisistan;199.951;191.801;8.150
86; Senegal;196.722;192.530;4.192
87; Syrien[Anm. 19];185.180;183.630;1.550
88; Kambodscha;181.035;176.515;4.520
89; Uruguay;176.215;175.015;1.200
90; Suriname;163.820;156.000;7.820
91; Tunesien;163.610;155.360;8.250
92; Bangladesch;148.460;130.170;18.290
93; Nepal;147.181;143.351;3.830
94; Tadschikistan;144.100;141.510;2.590
95; Griechenland;131.957;130.647;1.310
96; Nicaragua;130.370;119.990;10.380
97; Nordkorea;120.538;120.408;130
98; Malawi;118.484;94.080;24.404
99; Eritrea;117.600;101.000;16.600
100; Benin;112.622;110.622;2.000
101; Honduras;112.090;111.890;200
102; Liberia;111.369;96.320;15.049
103; Bulgarien;110.879;108.489;2.390
104; Kuba;110.860;109.820;1.040
105; Guatemala;108.889;107.159;1.730
106; Island;103.000;100.250;2.750
107; Südkorea;99.720;96.920;2.800
108; Ungarn;93.028;89.608;3.420
109; Portugal;92.090;91.470;620
110; Jordanien;89.342;88.802;540
111; Aserbaidschan[Anm. 20];86.600;82.629;3.971
112; Österreich;83.871;82.445;1.426
113; Vereinigte Arabische Emirate;83.600;83.600;0
114; Tschechien;78.867;77.247;1.620
115; Serbien[Anm. 21];77.474;77.474;0
116; Panama;75.420;74.340;1.080
117; Sierra Leone;71.740;71.620;120
118; Irland;70.273;68.883;1.390
119; Georgien[Anm. 22];69.700;69.700;0
120; Sri Lanka;65.610;64.630;980
121; Litauen;65.300;62.680;2.620
122; Lettland;64.589;62.249;2.340
–; Spitzbergen;62.045;62.045;0
123; Togo;56.785;54.385;2.400
124; Kroatien;56.594;55.974;620
125; Bosnien und Herzegowina;51.197;51.187;10
